Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description,Generated Award ID
CBP,70B01C23F00001238,"SLSCO, LTD.",300000000.0,2023-09-28,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE CONSTRUCTION,CONT_AWD_70B01C23F00001238_7014_70B01C23D00000012_7014
CBP,70B01C23F00001235,BARNARD SPENCER JOINT VENTURE,266285875.0,2023-09-28,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE CONSTRUCTION,CONT_AWD_70B01C23F00001235_7014_70B01C23D00000008_7014
CBP,70B01C23F00001237,FISHER SAND & GRAVEL CO,259000000.0,2023-09-28,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE CONSTRUCTION,CONT_AWD_70B01C23F00001237_7014_70B01C23D00000010_7014
CBP,70B01C23F00000710,BARNARD SPENCER JOINT VENTURE,234840000.0,2023-07-18,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,1ST TO BORDER INFRASTRUCTURE,CONT_AWD_70B01C23F00000710_7014_70B01C23D00000008_7014
CBP,70B01C23F00001236,"SLSCO, LTD.",228922000.0,2023-09-28,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE CONSTRUCTION,CONT_AWD_70B01C23F00001236_7014_70B01C23D00000012_7014
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,217463725.02,2023-04-27,P00009,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","ADDS A NEW SSF CPC ADULT FACILITY (EL PASO 2) ADDS FUNDING FOR FOOD/OVERCAPACITY EL PASO, TX EXERCISES AND ADDS FUNDING FOR OPTIONS 1 THRU 4 FOR EL PASO, TX FACILITY.",CONT_AWD_70B01C23F00000067_7014_70RDAD21A00000012_7001
CBP,70B01C23F00001239,BARNARD SPENCER JOINT VENTURE,126875875.0,2023-09-28,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE CONSTRUCTION,CONT_AWD_70B01C23F00001239_7014_70B01C23D00000008_7014
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,123476207.52,2022-12-15,0,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","ERECT/FURNISH CPC FACILITY AT EL PASO, TX AND SAN DIEGO, CA.  OPTION FOR EL CENTRO, CA",CONT_AWD_70B01C23F00000067_7014_70RDAD21A00000012_7001
CBP,70B04C20F00001359,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,105770540.6,2023-08-31,P00019,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,OPTION YEAR 2,CONT_AWD_70B04C20F00001359_7014_47QTCK18D0001_4732
CBP,70B01C22F00000778,DEPLOYED RESOURCES LLC,92769530.0,2023-02-28,P00004,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","EXERCISE OPTION PERIODS #2-8 AND INCORPORATE SERVICE CONTRACT WAGE DETERMINATION # 2015-5245, DATED DEC 27, 2022, WHICH IMPLEMENTS EXECUTIVE ORDER 14026",CONT_AWD_70B01C22F00000778_7014_70B01C21A00000002_7014
CBP,70B04C23F00000973,"LEIDOS, INC.",88142090.52,2023-09-02,0,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,TRAVELERS PROCESSING VETTING SOFTWARE (TPVS),CONT_AWD_70B04C23F00000973_7014_70B04C20A00000008_7014
CBP,70B01C22F00000406,DEPLOYED RESOURCES LLC,64112820.0,2023-03-07,P00008,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",NORTH EAGLE PASS OPTIONS 7-12,CONT_AWD_70B01C22F00000406_7014_70B01C21A00000002_7014
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,60645777.06,2023-03-08,P00005,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXERCISE OPTIONS 2-7.,CONT_AWD_70B01C22F00000711_7014_70B01C21A00000002_7014
CBP,70B01C23F00000002,"WORKWEAR OUTFITTERS, LLC",59737300.0,2023-01-19,P00001,"CLOTHING, SPECIAL PURPOSE",MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,"THIS MODIFICATION ADDS FUNDING FOR ALLOWANCE ACCOUNTS, STUDENT UNIFORMS AND QUARTERMASTER SERVICES FOR CUSTOMS AND BORDER PROTECTION AGENTS/OFFICERS.",CONT_AWD_70B01C23F00000002_7014_70B01C20D00000004_7014
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,38970195.56,2023-04-07,P00006,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO ADD 500 CAPACITY FOR YUMA SSF.,CONT_AWD_70B01C22F00000711_7014_70B01C21A00000002_7014
CBP,70B02C21C00000005,"AMENTUM SERVICES, INC.",38082252.11,2023-05-03,P00030,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT SERVICES - MODIFICATION ISSUED TO ADD INCREMENTAL OPTION YEAR 1 FUNDING.,CONT_AWD_70B02C21C00000005_7014_-NONE-_-NONE-
CBP,70B02C23F00000674,"ANDURIL INDUSTRIES, INC.",38030175.0,2023-07-05,0,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,COMPUTER SYSTEMS DESIGN SERVICES,"DO 13-PURCHASE OF 51 TOWERS, FUNDING PROVIDED.",CONT_AWD_70B02C23F00000674_7014_70B02C20D00000019_7014
CBP,70B04C20F00001357,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",37423699.64,2023-08-31,P00009,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,OPTION YEAR 2,CONT_AWD_70B04C20F00001357_7014_47QTCK18D0031_4732
CBP,70B04C23F00000244,FOUR LLC,36428000.0,2023-03-29,0,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,IBM SOFTWARE AND HARDWARE MAINTENANCE ENTERPRISE LICENSE AGREEMENT (ELA) FOR US CUSTOMS AND BORDER PROTECTION.,CONT_AWD_70B04C23F00000244_7014_NNG15SC73B_8000
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,34654819.3,2023-09-07,P00014,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIOD,CONT_AWD_70B01C23F00000067_7014_70RDAD21A00000012_7001
CBP,70B04C21F00000286,DELL FEDERAL SYSTEMS L.P,34079290.69,2023-03-23,P00009,"IT AND TELECOM - END USER: HELP DESK;TIER 1-2,WORKSPACE,PRINT,OUTPUT,PRODUCTIVITY TOOLS (HW/PERP SW)",SOFTWARE PUBLISHERS,EXERCISE OPTION PERIOD 3,CONT_AWD_70B04C21F00000286_7014_70RTAC21A00000001_7001
CBP,70B01C22F00000721,DEPLOYED RESOURCES LLC,33856992.0,2023-03-03,P00004,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TUCSON SOFT SIDE FACILITY OPTIONS 2-7,CONT_AWD_70B01C22F00000721_7014_70B01C21A00000002_7014
CBP,70B04C23F00001108,"LEIDOS, INC.",33519881.81,2023-09-21,0,IT AND TELECOM - SECURITY AND COMPLIANCE SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,TO PROVIDE CYBER SECURITY SOC SUPPORT SERVICES WITH CBP.,CONT_AWD_70B04C23F00001108_7014_HSHQDC16D00009_7001
CBP,70B02C23F00000363,"ANDURIL INDUSTRIES, INC.",33013825.05,2023-06-20,0,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,COMPUTER SYSTEMS DESIGN SERVICES,"DO 12 AWARD, ATS SUSTAINMENT",CONT_AWD_70B02C23F00000363_7014_70B02C20D00000019_7014
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,32886379.0,2023-05-25,P00010,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","EXERCISES AND ADDS FUNDING FOR OPTIONS 1 THRU 4 FOR THE SAN DIEGO, CA FACILITY.  ADDS FUNDING FOR FOOD AND OVERCAPACITY FOR THE SAN DIEGO, CA FACILITY.",CONT_AWD_70B01C23F00000067_7014_70RDAD21A00000012_7001
CBP,70B01C23C00000121,CHITINA DIVERSIFIED -AMES 1 JV LLC,32226804.0,2023-09-22,0,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,LAREDO PHASE 2 AMO FACILITIES CONSTRUCTION,CONT_AWD_70B01C23C00000121_7014_-NONE-_-NONE-
CBP,70B01C23F00000890,M. A. MORTENSON COMPANY,31925000.0,2023-09-07,0,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"CONSTRUCTION SERVICES OF THE INSTITUTE BUILDING AT CBP ADVANCED TRAINING CENTER, HARPERS FERRY, WV",CONT_AWD_70B01C23F00000890_7014_70Z04718DMORTSN00_7008
CBP,70B04C22F00000110,INTERNATIONAL BUSINESS MACHINES CORPORATION,31784376.23,2023-01-20,P00003,"IT AND TELECOM - PLATFORM PRODUCTS: DATABASE, MAINFRAME, MIDDLEWARE (HW, PERPETUAL LICENSE SOFTWARE)",COMPUTER SYSTEMS DESIGN SERVICES,EXERCISE OF OPTION PERIOD 1.,CONT_AWD_70B04C22F00000110_7014_HHSN316201200030W_7529
CBP,70B04C23F00000809,AKIRA TECHNOLOGIES INC.,31681552.01,2023-08-31,0,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,ORACLE SOFTWARE AND HARDWARE MAINTENANCE FOR CUSTOMS & BORDER PROTECTION,CONT_AWD_70B04C23F00000809_7014_HSHQDC12D00015_7001
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,30749140.0,2023-09-06,P00009,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXERCISE OPTION PERIODS 8 AND 9.,CONT_AWD_70B01C22F00000711_7014_70B01C21A00000002_7014
