Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description
CBP,70B01C24F00000236,BCCG A JOINT VENTURE,284773610.0,2024-04-05,0,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"DESIGN-BUILD ONE 1,000-PERSON JOINT PROCESSING CENTER (JPC) IN LAREDO, TX"
CBP,70B04C24F00001129,"CACI, INC. - FEDERAL",175337101.48,2024-09-28,0,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,BORDER ENFORCEMENT APPLICATIONS FOR GOVERNMENT LEADING-EDGE INFORMATION TECHNOLOGY
CBP,70B03C24F00001029,FISHER SAND & GRAVEL CO,120680000.0,2024-09-28,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE CONSTRUCTION
CBP,70B04C20F00001359,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,106172178.22,2024-09-13,P00026,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,OPTION YEAR
CBP,70B03C24F00001030,"SLSCO, LTD.",86534985.18,2024-09-28,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE CONSTRUCTION
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,79261238.28,2023-10-14,P00017,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIODS AND CONVERT EL PASO 1000PAX TO WARM STATUS.
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,70895574.4,2023-12-06,P00020,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B04C24F00000739,"LEIDOS, INC.",69187936.53,2024-08-30,0,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,TRAVELERS PROCESSING VETTING SOFTWARE TASK ORDER 7 AWARD
CBP,70B02C21C00000005,"AMENTUM SERVICES, INC.",56932014.71,2024-05-17,P00050,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT SERVICES - MODIFICATION ISSUED TO ADD INCREMENTAL OPTION YEAR 2 (OY2), DEOB FUNDS AND AUTHORIZE INCENTIVE FEE PAYMENT"
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,56858789.0,2024-09-23,P00039,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B01C24F00000004,"WORKWEAR OUTFITTERS, LLC",56000000.0,2024-01-27,P00004,"CLOTHING, SPECIAL PURPOSE",MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,"TO ADD ADDITIONAL FUNDING TO THE DELIVERY ORDER USING THE NEWLY ADDED LINE ITEMS, 150,160 AND 170."
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,52889664.59,2024-06-04,P00032,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE SAN DIEGO OPTION PERIOD 13 (5/24/2024 - 6/22/2024) AND EL PASO PERIOD 13 (06/03/2024 - 07/02/2024)
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,52781116.16,2023-12-22,P00001,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SCREENING SERVICES
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,48410506.7,2024-02-02,P00023,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE AND FUNDING EXERCISE
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,45059181.63,2024-03-01,P00025,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B03C23F00000272,LOYAL SOURCE GOVERNMENT SERVICES LLC,41489186.0,2023-11-15,P00010,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SCREENING SERVICES
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,40381831.76,2024-08-30,P00038,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION
CBP,70B02C24F00000395,"ANDURIL INDUSTRIES, INC.",38427554.7,2024-06-28,0,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,COMPUTER SYSTEMS DESIGN SERVICES,SUSTAINMENT TOWERS UNDER DO16
CBP,70B04C20F00001357,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",38218077.04,2024-09-17,P00016,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,OPTION YEAR
CBP,70B04C24F00000413,"FOUR POINTS TECHNOLOGY, L.L.C.",37564144.16,2024-06-27,0,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,AMAZON WEB SERVICES FOR CBP.
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,37444497.8,2024-04-05,P00029,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,37422747.7,2024-05-03,P00031,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE AND ADD FUNDING FOR ISO PODS
CBP,70B02C24F00000684,"ANDURIL INDUSTRIES, INC.",37030942.28,2024-08-27,0,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,COMPUTER SYSTEMS DESIGN SERVICES,DO# 17
CBP,70B04C23F00000244,FOUR LLC,36230000.0,2024-03-29,P00004,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,IBM ELA - EXERCISE OPTION PERIOD 1 AND ADD ADDITIONAL ITEMS USING CBA CREDITS AND SUBSTITUTIONS
CBP,70B01C22F00000778,DEPLOYED RESOURCES LLC,36016080.0,2023-12-21,P00013,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE AND 30 DAY 52.217-8 EXTENSION
CBP,70B01C22F00000406,DEPLOYED RESOURCES LLC,35844086.94,2023-12-14,P00018,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",NORTH EAGLE PASS SOFT SIDE FACILITY OPTION
CBP,70B04C24F00000246,DELL FEDERAL SYSTEMS L.P,35586071.4,2024-03-27,0,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),SOFTWARE PUBLISHERS,MICROSOFT LICENSES
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,35412165.93,2024-09-30,P00010,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,"MODIFICATION P00010 EXERCISE OPTION 10 & OPTION 11 (SEP 30, 2024 THROUGH NOV 29, 2024)."
